
2025/01/13 (17:42:06) | ===> btop++ v.1.4.0
2025/01/13 (17:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (09:40:15) | ===> btop++ v.1.4.0
2025/01/14 (09:40:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (22:08:21) | ===> btop++ v.1.4.0
2025/01/16 (22:08:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:50:24) | ===> btop++ v.1.4.0
2025/01/23 (22:50:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (15:58:51) | ===> btop++ v.1.4.0
2025/01/27 (15:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (14:35:53) | ===> btop++ v.1.4.0
2025/02/05 (14:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (20:33:18) | ===> btop++ v.1.4.0
2025/02/14 (20:33:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (20:35:59) | ===> btop++ v.1.4.0
2025/02/14 (20:35:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (20:38:04) | ===> btop++ v.1.4.0
2025/02/14 (20:38:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:17:38) | ===> btop++ v.1.4.0
2025/02/24 (20:17:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (21:34:49) | ===> btop++ v.1.4.0
2025/02/24 (21:34:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/24 (21:42:35) | WARNING: Failed to join _runner thread on exit!
